Index;Country;Brown Ale;Pale Lager;Stout;Golden Ale/Blond Ale;Bitter;American Pale Ale;Irish Ale;Wheat Ale;English Strong Ale;Black IPA;India Pale Ale (IPA);American Strong Ale;Imperial IPA;Berliner Weisse;Sour/Wild Ale;Zwickel/Keller/Landbier;Saison;Session IPA;Imperial Stout;Foreign Stout;Porter;Spice/Herb/Vegetable;Pilsener;Belgian Ale;Dry Stout;Mild Ale;Premium Lager;Amber Ale;Baltic Porter;California Common;Imperial Porter;Dortmunder/Helles;Smoked;Abbey Tripel;Premium Bitter/ESB;Belgian Strong Ale;Bière de Garde;German Hefeweizen;English Pale Ale;Traditional Ale;Sweet Stout;Kölsch;Altbier;Sour Red/Brown;Fruit Beer;India Style Lager;Lambic Style - Fruit;Cider;Czech Pilsner (Světlý);Witbier;Cream Ale;Scotch Ale;Dunkel/Tmavý;Sahti/Gotlandsdricke/Koduõlu;Heller Bock;Amber Lager/Vienna;Doppelbock;Imperial Pils/Strong Pale Lager;Abbey Dubbel;Dunkelweizen;Specialty Grain;Oktoberfest/Märzen;Old Ale;Dunkler Bock;Malt Liquor;Radler/Shandy;Scottish Ale;Schwarzbier;Low Alcohol;Barley Wine;Weizen Bock;Grodziskie/Gose/Lichtenhainer;Polotmavý;Abt/Quadrupel;German Kristallweizen;Perry;Eisbock;Lambic Style - Gueuze;Lambic Style - Unblended;Lambic Style - Faro
0;Poland;3.2612;2.1575;3.4896;3.0664;3.1095;3.3397;3.1502;3.3543;3.2736;3.6385;3.4819;3.6688;3.6173;3.4048;3.5834;2.9522;3.4685;3.4277;3.7817;3.6179;3.4822;3.0052;2.8138;3.2528;3.3515;3.1357;2.493;3.2862;3.6536;3.243;3.763;2.92;3.5734;3.5151;3.1911;3.6113;3.2942;3.2459;3.0947;3.24;3.4639;3.0821;3.2193;3.7141;2.9786;3.4697;3.6552;2.7866;2.958;3.3157;2.9853;3.5116;2.9121;3.3181;2.933;2.807;3.3562;2.4458;3.3792;3.279;3.2977;2.8721;3.5781;3.1073;2.0379;2.2846;3.0534;3.106;2.7018;3.6587;3.4646;3.451;3.1341;3.8236;2.9117;2.4459;3.794;3.794;3.834;3.5133
1;Spain;3.2093;2.0474;3.4442;3.0031;3.0083;3.3841;2.9175;3.1253;3.2743;3.699;3.5322;3.691;3.7302;3.3414;3.558;3.0619;3.4475;3.4448;3.8735;3.6789;3.5244;2.9625;2.7831;3.242;3.302;3.2188;2.635;3.2067;3.6034;3.2653;3.8504;2.9744;3.5232;3.5862;3.2109;3.6344;3.122;3.219;2.8335;3.3274;3.5709;2.8656;3.2497;3.5798;2.9618;3.6101;3.4637;2.8413;2.9645;3.1376;3.2781;3.4838;2.9665;3.315;3.1038;2.8602;3.5588;2.6939;3.4284;3.2447;3.2611;2.9319;3.5382;3.3317;2.0404;1.8965;2.9967;2.9207;2.023;3.7053;3.7052;3.3741;3.0935;3.9122;3.1;2.19;3.7217;3.7681;3.7753;3.298
2;Germany;3.1884;2.1453;3.3309;3.0183;3.0182;3.2783;2.9861;3.1243;3.2862;3.5318;3.409;3.5775;3.598;3.1786;3.4677;3.0271;3.3486;3.2768;3.7389;3.455;3.3205;2.8879;2.827;3.1514;3.246;3.1459;2.5628;3.1269;3.409;3.1795;3.6343;2.8367;3.3483;3.3109;3.1828;3.3821;3.0865;3.0037;2.9617;3.104;3.3735;2.8974;3.1273;3.5055;2.6845;3.354;3.4276;2.6246;2.9437;3.0623;3.0662;3.2129;3.0263;3.3593;3.0931;2.8672;3.3208;2.4886;3.2942;3.0671;3.0122;2.9781;3.5129;3.1511;1.9976;1.9547;3.1938;2.9913;2.1493;3.5117;3.4285;3.3149;3.1013;3.7154;2.8654;2.2703;3.4642;3.6659;3.5438;3.2171
3;Belgium;3.284;2.1606;3.5126;3.1486;3.1246;3.5162;2.9414;3.3245;3.3749;3.7133;3.5853;3.7661;3.775;3.514;3.6587;3.1878;3.486;3.5874;3.889;3.6041;3.5216;3.1073;2.7277;3.2595;3.388;3.378;2.6442;3.3291;3.6792;3.2681;3.7362;2.8994;3.4945;3.3984;3.2215;3.4867;3.1388;3.1227;3.099;3.338;3.3857;3.0599;3.2702;3.6367;2.8362;3.6342;3.5004;3.062;2.9414;3.1112;3.1837;3.3933;2.9991;3.322;3.1112;2.866;3.4247;2.5486;3.3338;3.1847;3.2254;2.9789;3.6328;3.2031;2.0204;2.1385;3.3093;3.1237;2.1564;3.7464;3.5291;3.4862;2.9929;3.8344;3.038;2.525;3.6611;3.7773;3.7347;3.3701
4;United States, Connecticut;3.3511;2.1038;3.5556;3.1134;3.2671;3.4504;3.1803;3.043;3.4541;3.6147;3.5401;3.6522;3.7798;3.6312;3.8322;3.4069;3.7003;3.4877;3.8687;3.6145;3.5313;3.3027;3.1667;3.5342;3.4626;3.3182;2.8345;3.2215;3.7814;3.2575;3.7446;3.2335;3.5929;3.6835;3.3649;3.734;3.5704;3.3992;3.1872;3.5564;3.5832;3.1824;3.3538;3.8342;3.0846;3.6931;3.7288;3.0062;3.2041;3.3581;3.1474;3.5477;3.2977;3.8917;3.4092;2.9731;3.6571;2.9868;3.6243;3.506;3.3347;3.2824;3.6538;3.2924;1.7984;2.4571;3.335;3.3552;2.3269;3.7121;3.7252;3.597;2.96;3.9269;3.4118;1.2;3.8538;3.9549;3.8;3.0778
5;United States, Virginia;3.2544;1.9198;3.516;2.9012;3.0636;3.3209;3.0271;2.954;3.3474;3.5921;3.4907;3.6671;3.7465;3.529;3.7153;3.292;3.5624;3.4464;3.8824;3.6145;3.4403;3.2146;3.0075;3.4105;3.3256;3.2317;2.7037;3.1361;3.7393;3.1649;3.7819;2.9914;3.5516;3.5787;3.2114;3.656;3.3929;3.254;3.0479;3.4477;3.5239;3.0106;3.1983;3.7544;3.0059;3.4982;3.6374;2.9375;3.1205;3.2354;2.9675;3.5125;3.1322;3.3226;3.2182;2.8139;3.5081;3.1027;3.5111;3.2771;3.2256;3.0879;3.6409;3.1737;1.7483;2.6628;3.1967;3.2742;1.6463;3.6787;3.6389;3.5018;3.3125;3.878;3.2224;2.8286;3.8495;3.8501;3.8031;3.3946
6;United States, Washington;3.2612;1.9811;3.5163;2.9414;3.0656;3.3246;3.0729;3.0105;3.3676;3.5605;3.4947;3.6179;3.6833;3.4942;3.6858;3.3107;3.5571;3.4853;3.8204;3.5333;3.459;3.2274;2.9956;3.4;3.3723;3.2665;2.6941;3.2045;3.6626;3.2518;3.6888;3.0523;3.5301;3.5127;3.2355;3.5997;3.4136;3.2561;3.0798;3.5094;3.5254;3.0505;3.2792;3.7364;3.0902;3.49;3.699;3.0011;3.0606;3.2316;3.0535;3.4949;3.1467;3.4436;3.2174;2.8643;3.482;2.995;3.4872;3.3425;3.254;3.1676;3.6334;3.2349;2.0565;2.413;3.2404;3.2969;1.8863;3.659;3.5612;3.4864;3.1036;3.781;3.1706;2.7353;3.6684;3.8648;3.7248;3.5
7;United States, North Carolina;3.2773;1.907;3.502;2.9697;3.1394;3.3151;3.126;3.0489;3.4065;3.5745;3.4499;3.5759;3.6822;3.516;3.6986;3.2579;3.5739;3.3691;3.8219;3.6059;3.4573;3.2487;3.0715;3.411;3.3543;3.3058;2.7214;3.1795;3.7409;3.2288;3.7134;3.0388;3.5793;3.5747;3.2463;3.651;3.5047;3.2497;3.1198;3.4655;3.552;3.0549;3.2877;3.7215;3.1017;3.4037;3.6541;3.2286;3.2125;3.2511;3.0198;3.5411;3.1297;3.5833;3.2747;2.8804;3.5372;3.0047;3.515;3.3107;3.3541;3.1543;3.5954;3.2265;1.6609;2.5;3.251;3.3011;2.0642;3.6455;3.6207;3.5216;3.1632;3.8659;3.2556;2.6714;3.8314;3.9101;3.7847;3.4091
8;Denmark;3.0265;2.0134;3.2965;2.9388;2.9075;3.2606;2.8724;2.9218;3.0852;3.5817;3.3873;3.5637;3.6398;3.2547;3.5911;2.9428;3.4011;3.3634;3.8318;3.4776;3.3254;2.8364;2.6456;3.0746;3.2413;3.0183;2.5724;3.0133;3.4973;3.0147;3.7008;2.7811;3.259;3.3079;3.0154;3.3803;2.9992;2.8532;2.8352;2.9127;3.2973;2.8457;2.9873;3.5939;2.7548;3.3601;3.4953;2.5875;2.7916;2.8851;3.0069;3.3497;2.9094;3.0345;2.9152;2.5804;3.2295;2.4233;3.245;2.9576;2.9174;2.8528;3.4035;2.9935;2.0571;1.8286;3.0612;3.0186;1.8968;3.5472;3.2051;3.2549;2.9339;3.6753;2.7105;1.9778;3.3022;3.6961;3.5347;3.2045
9;Scotland;3.3713;2.3699;3.5166;3.2192;3.0832;3.4336;3.1836;3.2848;3.3058;3.6146;3.5305;3.6915;3.671;3.4725;3.5724;3.1204;3.4958;3.4306;3.8719;3.5909;3.5137;3.2963;2.9602;3.3348;3.4011;3.3442;2.9658;3.3554;3.5465;3.2265;3.7947;3.0523;3.4155;3.4701;3.1993;3.5941;3.2895;3.3667;3.1995;3.3596;3.6003;3.0718;3.2363;3.5948;3.2848;3.3876;3.6156;3.0633;2.9723;3.3022;3.2081;3.4887;3.2278;3.4469;3.125;3.0318;3.4618;2.873;3.4702;3.3815;3.328;3.0392;3.5262;3.1994;2.2935;2.7703;3.248;3.2721;2.8479;3.5719;3.6581;3.4615;3.0158;3.7629;3.1753;2.62;3.5343;3.6835;3.4134;3.0949
