Index;Country;Brown Ale;Pale Lager;Stout;Golden Ale/Blond Ale;Bitter;American Pale Ale;Irish Ale;Wheat Ale;English Strong Ale;Black IPA;India Pale Ale (IPA);American Strong Ale;Imperial IPA;Berliner Weisse;Sour/Wild Ale;Zwickel/Keller/Landbier;Saison;Session IPA;Imperial Stout;Foreign Stout;Porter;Spice/Herb/Vegetable;Pilsener;Belgian Ale;Dry Stout;Mild Ale;Premium Lager;Amber Ale;Baltic Porter;California Common;Imperial Porter;Dortmunder/Helles;Smoked;Abbey Tripel;Premium Bitter/ESB;Belgian Strong Ale;Bière de Garde;German Hefeweizen;English Pale Ale;Traditional Ale;Sweet Stout;Kölsch;Altbier;Sour Red/Brown;Fruit Beer;India Style Lager;Lambic Style - Fruit;Cider;Czech Pilsner (Světlý);Witbier;Cream Ale;Scotch Ale;Dunkel/Tmavý;Sahti/Gotlandsdricke/Koduõlu;Heller Bock;Amber Lager/Vienna;Doppelbock;Imperial Pils/Strong Pale Lager;Abbey Dubbel;Dunkelweizen;Specialty Grain;Oktoberfest/Märzen;Old Ale;Dunkler Bock;Malt Liquor;Radler/Shandy;Scottish Ale;Schwarzbier;Low Alcohol;Barley Wine;Weizen Bock;Grodziskie/Gose/Lichtenhainer;Polotmavý;Abt/Quadrupel;German Kristallweizen;Perry;Eisbock;Lambic Style - Gueuze;Lambic Style - Unblended;Lambic Style - Faro
10;Sweden;3.1576;1.96;3.3522;3.0898;3.0729;3.2918;2.9512;3.0657;3.2498;3.528;3.4209;3.6127;3.6376;3.4209;3.6343;3.1448;3.488;3.2894;3.8301;3.4836;3.3741;2.9874;2.7869;3.2704;3.2532;3.1759;2.7642;3.1486;3.5215;3.1296;3.6819;2.8976;3.3615;3.4156;3.1903;3.5027;3.2299;3.109;3.0212;3.1955;3.3928;2.9946;3.1109;3.6754;2.9774;3.3731;3.714;2.9614;2.91;3.1392;3.0866;3.418;2.9842;3.2632;3.031;2.682;3.3551;2.4791;3.3797;3.1204;3.1197;2.9603;3.5461;3.0309;1.7116;1.9343;3.1819;3.0984;2.1105;3.6338;3.4471;3.3846;2.962;3.7355;2.9512;2.0282;3.3642;3.8436;3.7292;3.3888
11;Finland;3.1256;1.8814;3.3363;2.9908;3.0059;3.21;2.9219;3.0966;3.2732;3.5279;3.3892;3.5959;3.5712;3.2029;3.4642;2.9488;3.3646;3.1949;3.7766;3.5113;3.3846;2.8979;2.6455;3.1979;3.2659;3.1224;2.5195;3.1058;3.5139;2.9938;3.7069;2.7264;3.376;3.3885;3.125;3.4753;3.1064;3.0952;2.9278;3.1143;3.3794;2.784;3.0502;3.5654;2.8022;3.3176;3.4607;2.6264;2.7424;3.0786;2.9662;3.4025;2.9023;3.2763;2.9609;2.5816;3.3305;2.3638;3.3388;3.1641;3.0469;2.857;3.5178;3.1072;1.7851;1.6288;3.0963;2.9693;1.8993;3.5737;3.3869;3.2433;2.866;3.6948;2.9014;1.6888;3.4952;3.6677;3.6715;3.2961
12;Not Specified;3.3743;2.2004;3.5383;3.1103;3.1068;3.3979;3.2138;3.1494;3.3553;3.6847;3.5477;3.7121;3.8016;3.4284;3.6844;3.186;3.5734;3.4257;3.9336;3.5859;3.5413;3.2291;2.9409;3.3672;3.4941;3.2927;2.7556;3.2735;3.7007;3.2519;3.811;3.0563;3.5131;3.6433;3.26;3.6833;3.328;3.3746;3.0548;3.3859;3.6281;3.0438;3.2825;3.733;3.1274;3.4944;3.6898;3.1102;2.9862;3.3153;3.2188;3.5987;3.1399;3.4054;3.2878;3.0069;3.594;2.8048;3.5443;3.3273;3.2938;3.1696;3.6644;3.2885;2.1953;2.6125;3.2857;3.2564;2.305;3.7192;3.7456;3.4426;3.0664;4.049;3.1598;2.9118;3.8129;3.7824;3.837;3.3682
13;United States, Minnesota;3.3231;2.0714;3.5149;2.9348;3.0481;3.3248;3.0619;2.959;3.3944;3.6032;3.4899;3.6077;3.7046;3.5259;3.6994;3.4353;3.5528;3.4284;3.8396;3.6461;3.4524;3.2278;3.0163;3.4035;3.368;3.1536;2.7268;3.1473;3.6703;3.1178;3.7666;3.0931;3.5835;3.5761;3.2213;3.661;3.4357;3.2818;3.0908;3.4948;3.5282;3.0129;3.315;3.7381;3.1587;3.409;3.7078;3.122;3.1057;3.2464;2.9968;3.511;3.1241;3.4269;3.2205;2.9448;3.5194;2.9272;3.5793;3.3709;3.286;3.1912;3.6039;3.2529;1.7609;2.6911;3.1595;3.3358;1.596;3.6992;3.725;3.4706;3.15;3.9155;3.131;2.965;3.7591;3.8512;3.7344;3.4609
14;Ireland;3.3511;2.1325;3.4982;3.0235;2.9094;3.3978;3.1372;3.225;3.3801;3.6571;3.5153;3.6294;3.8037;3.4212;3.6078;3.1875;3.5673;3.4437;3.9256;3.6766;3.4769;3.2637;2.6894;3.4217;3.4196;3.1103;2.6615;3.2651;3.5488;3.1094;3.8514;2.9288;3.5767;3.6452;3.1237;3.7024;3.3778;3.3761;2.9981;3.3774;3.5842;2.9367;3.1172;3.6759;3.0488;3.6654;3.6663;2.675;2.9187;3.3126;2.9381;3.4412;3.1538;3.15;2.9515;2.9202;3.3944;2.6407;3.547;3.3982;3.3697;3.0855;3.5462;3.2767;1.6571;2.3941;3.055;3.1396;2.3814;3.6531;3.8409;3.5723;3.2;4.0515;3.0829;1.8167;3.625;3.7671;3.7706;3.2417
15;Northern Ireland;3.2892;2.6142;3.5934;3.2558;3.1269;3.4473;3.0925;3.4266;3.311;3.6872;3.5523;3.4808;3.6885;3.4855;3.5331;2.9846;3.5913;3.5365;3.8066;3.6357;3.5389;3.3404;3.2966;3.4667;3.4451;3.1932;3.1568;3.2165;3.6391;3.1583;3.7364;3;3.5556;3.5171;3.2085;3.5475;3.525;3.43;3.075;3.3824;3.4898;3.1062;3.1667;3.6814;3.1957;3.6524;3.7906;3.3667;3.312;3.3255;2.9;3.337;3.2409;3.35;3.475;3.1105;3.14;3.0857;3.4556;3.1579;3.2976;3.1125;3.6959;2.6333;2.8;2.7;3.15;3.2227;3.3071;3.4419;3.66;3.5265;2.98;3.7458;3.5333;3.55;3.9;3.7773;3.4118;3.0833
16;New Zealand;3.2912;2.0772;3.4455;3.059;3.0869;3.3903;2.9172;2.9866;3.4202;3.6911;3.5555;3.729;3.7846;3.3889;3.6571;2.9993;3.5415;3.4124;3.8624;3.5257;3.3463;3.1038;2.9399;3.3519;3.3461;3.0814;2.5316;3.2788;3.5829;3.1356;3.8981;2.7071;3.5733;3.4977;3.2004;3.5807;3.4216;2.9985;3.2374;3.3709;3.5363;2.8375;3.1309;3.6785;2.9564;3.3964;3.2329;2.9245;3.0575;3.138;3.1515;3.5113;2.9742;3.4167;3.0017;2.3992;3.1979;2.7111;3.4807;3.1125;3.2232;2.7692;3.515;3.0535;1.9;2.0378;3.3286;3.0863;2.2434;3.7431;3.5128;3.5521;3.0727;3.8419;3.1419;2.7136;3.7846;3.4827;3.4273;3.2556
17;Estonia;3.0244;1.9943;3.3174;2.9589;3.0297;3.0317;2.7488;2.9551;3.2436;3.468;3.2364;3.4457;3.4445;2.892;3.205;2.7459;3.1519;3.0975;3.628;3.3821;3.3394;2.8584;2.4266;3.0823;3.1786;3.1934;2.39;2.9889;3.3295;2.8118;3.5685;2.4863;3.267;3.3404;3.0863;3.3594;2.9119;2.968;2.8858;2.9968;3.2011;2.7237;3.0187;3.4032;2.6614;3.2109;3.3917;2.4098;2.6063;2.9695;2.7351;3.2616;2.7985;3.0791;2.9342;2.4941;3.2794;2.3363;3.2801;3.0734;3.0651;2.7067;3.4935;3.004;1.9606;1.7083;3.1;2.907;2.2268;3.435;3.4156;3.0197;2.7612;3.5221;2.8836;1.727;3.363;3.5163;3.6016;3.2451
18;England;3.2681;2.1806;3.4066;3.1423;3.0193;3.407;3.0314;3.1596;3.3008;3.5788;3.5368;3.6576;3.7442;3.4475;3.5781;3.1643;3.5004;3.4259;3.7873;3.5283;3.4061;3.097;2.8923;3.2891;3.3184;3.2056;2.7555;3.2955;3.5402;3.149;3.7228;2.9954;3.4823;3.4735;3.1392;3.5583;3.1674;3.2553;3.093;3.2054;3.4314;3.0482;3.1627;3.6218;2.9979;3.4841;3.4861;2.8672;2.9108;3.1778;3.1861;3.4116;3.1321;3.377;3.1186;2.9417;3.4541;2.629;3.4398;3.2603;3.2587;3.0966;3.4291;3.1844;2.2745;2.3817;3.2027;3.1727;2.2552;3.5568;3.5819;3.4484;3.1118;3.8089;3.1565;2.4492;3.5919;3.7518;3.6197;3.2045
19;Netherlands;3.2759;2.2489;3.4679;3.1075;3.0116;3.4045;2.9902;3.2418;3.3058;3.6548;3.5022;3.7134;3.7008;3.3047;3.5136;3.0921;3.3797;3.4899;3.8737;3.4809;3.4692;2.9986;2.7183;3.1552;3.3722;3.2183;2.679;3.2203;3.6405;3.2103;3.7421;2.8452;3.4484;3.3248;3.1872;3.4191;3.0949;3.1021;3.0517;3.22;3.4339;2.961;3.1233;3.4986;2.856;3.4641;3.4102;2.8072;2.9432;3.0514;3.2952;3.3554;3.023;3.3402;3.0596;2.8933;3.3811;2.5793;3.2777;3.1427;3.1605;2.9405;3.578;3.1513;2.1318;2.1909;3.2813;3.1417;2.2213;3.65;3.4623;3.2766;2.8939;3.7352;3.1018;2.5818;3.486;3.6249;3.5969;3.1613
20;Israel;3.0458;1.9153;3.2556;2.7817;2.8804;3.1726;2.7122;2.913;3.0661;3.3604;3.2318;3.3777;3.2902;3.4719;3.6005;2.7751;3.3218;3.3368;3.7038;3.266;3.2606;2.7199;2.5973;2.9343;3.1687;3.0792;2.2531;2.819;3.2638;2.8125;3.5849;2.6233;3.3873;3.0586;3.029;3.1797;2.9169;2.9776;2.8294;2.8731;3.322;2.7781;3.0824;3.5604;2.7082;3.3377;3.6476;2.7506;2.6092;2.996;2.9354;3.1049;2.7857;3.3633;2.6912;2.5854;3.1213;2.0712;3.1303;3.0683;2.7651;2.6651;3.3843;2.8319;1.5667;1.993;2.9205;2.9425;2.0356;3.3;3.2596;3.3966;2.6146;3.3364;2.8348;1.6222;3.295;3.7683;3.6283;3.292
21;Czech Republic;3.1525;2.0696;3.412;3.0335;2.8451;3.3642;2.85;2.9791;3.201;3.6471;3.498;3.6965;3.7152;3.2794;3.5022;3.1302;3.5052;3.3376;3.8559;3.5959;3.4071;3.0126;2.724;3.2788;3.3651;2.9125;2.5661;3.1834;3.4293;3.1897;3.8041;2.7398;3.4893;3.4757;3.1509;3.5344;3.2723;3.1821;3.0195;3.3069;3.3653;2.7037;3.1829;3.6586;2.8059;3.4622;3.5504;2.6371;3.0297;3.2551;2.1909;3.3;3.1276;3.29;3.0697;2.8687;3.3419;2.6763;3.4091;3.2198;3.2044;2.843;3.47;3.2367;1.9571;2.0571;3.2174;3.0309;1.9866;3.6283;3.6137;3.5319;3.1518;3.8915;2.9951;2.3;3.7321;3.8139;3.7321;3.2467
22;Singapore;3.3438;2.3246;3.55;3.0865;3.1625;3.5883;3.2;3.2708;3.5;3.7773;3.7071;3.7364;3.8508;3.65;3.7042;2.96;3.6815;3.5345;3.9603;3.2;3.624;3.296;3.3071;3.46;2.925;3.55;3.0533;3.58;4;2.9;3.87;3.7667;3.6125;3.7923;3.2583;3.45;2.95;3.5833;3.3625;3.725;3.4133;3.24;2.65;3.5714;3.2161;3.6;3.725;3.1833;3.4818;3.236;3.675;3.2333;3.48;3.9;1.8;2.875;3.9667;2.6615;3.6625;3.0909;3.56;3.8;2.6;;1.575;2.95;3.75;3.1;2.525;3.7375;4.1857;3.6538;;3.8846;3.4;;;4.0429;4.05;
23;United States, Wisconsin;3.2597;2.062;3.515;2.8149;3.1406;3.3161;3.0609;2.9582;3.3394;3.597;3.5107;3.6233;3.7195;3.5395;3.7181;3.4391;3.5837;3.4975;3.8512;3.5975;3.4378;3.2516;2.9997;3.4647;3.3529;3.1568;2.7519;3.1436;3.6482;3.185;3.8147;3.1479;3.5915;3.5685;3.2314;3.6982;3.4456;3.3062;3.0381;3.4849;3.5047;3.027;3.2971;3.8126;3.0843;3.4966;3.6845;2.749;3.1489;3.2444;3.0572;3.5341;3.2354;3.4138;3.2916;2.9991;3.5015;2.8761;3.5833;3.3953;3.2741;3.1629;3.6026;3.277;1.8052;2.6964;3.2254;3.3598;1.624;3.6855;3.729;3.51;3.1385;3.8907;3.2119;2.4833;3.8543;3.9;3.8476;3.3162
24;United States, Alabama;3.2519;1.935;3.4597;2.8576;2.9792;3.2559;3.0254;2.9528;3.345;3.5425;3.4346;3.6658;3.7052;3.3686;3.6099;3.0481;3.4942;3.3212;3.8664;3.5255;3.4169;3.0896;2.8447;3.336;3.3269;3.086;2.5604;3.1301;3.5738;3.0286;3.7778;3.011;3.3996;3.5814;3.2201;3.6481;3.3221;3.2624;2.9993;3.2913;3.5449;3.0459;3.2304;3.7973;2.9455;3.3956;3.4944;2.9389;2.974;3.1624;2.9695;3.5424;3.0367;3.09;3.1892;2.7249;3.4732;2.5291;3.5379;3.2767;3.1556;3.0425;3.6619;3.1859;1.9406;2.5254;3.2847;3.2121;1.6929;3.6827;3.6696;3.3895;3.5;3.9642;2.9645;3.12;3.7029;3.7542;3.773;3.0036
25;France;3.23;2.0297;3.5373;2.9895;3.024;3.3836;2.9752;3.2653;3.2604;3.6969;3.4696;3.672;3.7224;3.1935;3.5663;2.9897;3.4869;3.4632;3.869;3.7067;3.5098;2.8572;2.672;3.1828;3.3702;3.3207;2.4152;3.1274;3.6664;3.225;3.839;2.7424;3.5086;3.4489;3.1708;3.5108;3.0709;3.0555;3.0853;3.1841;3.4867;2.9148;3.2863;3.543;2.5847;3.5845;3.2997;2.4459;2.8602;2.8904;3.5778;3.3738;3.0089;3.1125;3.0451;2.89;3.4672;2.356;3.3892;3.1588;3.0721;2.9076;3.6833;3.189;2.0541;1.9459;3.2576;3.1239;2.1411;3.7472;3.5799;3.3419;3.2722;3.9679;2.9474;1.76;3.6225;3.4702;3.492;3.1289
26;Austria;3.4558;2.2304;3.5019;3.2165;3.13;3.4422;3.2109;3.408;3.5062;3.6903;3.5437;3.7062;3.7348;3.5139;3.7027;3.0856;3.6115;3.465;3.8602;3.5923;3.5105;3.2194;3.0086;3.4507;3.4284;3.1154;2.7535;3.3321;3.6491;3.2185;3.8;2.8958;3.5183;3.5394;3.2606;3.6076;3.3786;3.2097;3.2587;3.4159;3.6772;3.122;3.2319;3.6763;3.2289;3.4598;3.5784;3.0333;2.89;3.2533;3.21;3.5891;3.0668;3.55;3.1033;3.1047;3.4856;3.0346;3.6013;3.2713;3.2076;2.9854;3.6735;3.2906;2.7417;2.2527;3.5375;3.1382;2.338;3.7724;3.6028;3.5162;3.0368;3.8984;2.9852;3;3.6846;3.7469;3.6545;3.275
27;Norway;3.1092;1.973;3.3346;2.8994;2.8806;3.2134;2.8563;3.0132;3.205;3.5476;3.3886;3.6176;3.5985;3.1763;3.5072;2.8655;3.3611;3.1543;3.8184;3.4612;3.3335;3.0529;2.4593;3.1819;3.2011;2.9908;2.5329;3.1073;3.4852;2.9898;3.7179;2.6374;3.3099;3.4003;3.0559;3.4599;3.1664;2.9609;2.8284;3.1329;3.317;2.8573;3.0871;3.5703;2.8823;3.2826;3.4642;2.4627;2.8248;3.0024;2.8335;3.3157;2.8379;3.1752;2.958;2.5823;3.3435;2.5176;3.3611;3.0384;2.9356;2.7915;3.5054;3.0397;1.9768;1.7028;3.139;3.0115;1.8729;3.5963;3.339;3.2643;2.9648;3.7351;2.645;1.479;3.5089;3.6459;3.5544;3.3584
28;Italy;3.3794;2.0918;3.49;3.2553;3.2256;3.4617;2.8923;3.2985;3.2455;3.6621;3.5538;3.674;3.7579;3.4712;3.7402;3.3257;3.5824;3.5371;3.9187;3.6456;3.579;3.2221;2.9798;3.372;3.3544;3.3643;2.6006;3.3159;3.5763;3.2496;3.85;2.9409;3.6198;3.5821;3.2513;3.6462;3.2524;3.1735;3.1794;3.582;3.555;3.2875;3.2295;3.8011;3.1462;3.564;3.7625;3.1185;3.1378;3.2193;3.3339;3.4327;3.1107;3.3684;3.1121;2.9695;3.4135;2.6057;3.52;3.2943;3.1015;3.0559;3.6456;3.0636;2.1425;1.9832;3.2306;3.211;2.1729;3.7847;3.6698;3.5096;3.1641;4.0988;2.9583;1.7;3.8263;3.9096;3.8123;3.4643
29;Canada;3.1643;2.0271;3.4248;2.8472;3.0734;3.3296;2.9791;3.0019;3.3305;3.5954;3.4713;3.5599;3.6359;3.4627;3.619;3.331;3.5419;3.3903;3.7888;3.4688;3.3726;3.1133;2.9168;3.3334;3.3011;3.1241;2.6668;3.0093;3.6426;3.1777;3.6752;2.9306;3.4507;3.5395;3.2188;3.5784;3.2735;3.221;3.0107;3.3577;3.4307;3.0254;3.2558;3.6446;2.9318;3.481;3.5294;2.8325;3.1104;3.1274;2.8745;3.4202;3.0727;3.3363;3.1232;2.7409;3.4225;2.6927;3.4781;3.212;3.2119;3.1185;3.5236;3.1299;1.7311;2.4862;3.0919;3.2021;1.9527;3.5931;3.6053;3.4355;3.2;3.8492;3.0163;2.6128;3.5821;3.7209;3.6678;3.2295
30;Switzerland;3.3356;2.249;3.4797;3.0103;3.0936;3.4641;3.2318;3.2349;3.4337;3.7058;3.5374;3.647;3.7682;3.306;3.7152;3.12;3.5637;3.4442;3.9104;3.6465;3.5059;3.0857;2.8765;3.2646;3.4578;3.231;2.7157;3.1088;3.637;3.3047;3.7605;2.8703;3.4301;3.5191;3.3777;3.5992;3.1469;3.1171;3.0958;3.4434;3.5374;3.1781;3.2322;3.685;2.9517;3.53;3.4908;3.2545;3.0224;3.1531;3.068;3.5053;3.0068;3.3208;3.1377;2.9274;3.417;2.4354;3.4239;3.1408;3.0749;2.9908;3.6556;3.1956;2.2319;1.8175;3.2563;3.1844;2.0306;3.6835;3.4355;3.3383;2.9935;3.8466;3.0304;2.5;3.7364;3.7019;3.6625;3.2303
